description;reference;external_referential_description;type;nb_of_vcpu;total_disk;lifespan
Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 4 GB each / 0 GPU;blade-server--11;Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 4 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;blade-server--12;Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;blade-server--13;Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 16 RAM, 16 GB each / 0 GPU;blade-server--14;Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 16 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 24 RAM, 16 GB each / 0 GPU;blade-server--15;Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 24 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 16 GB each / 0 GPU;blade-server--16;Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 64 GB each / 0 GPU;blade-server--17;Blade server / 1 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 64 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 4 GB each / 0 GPU;blade-server--18;Blade server / 1 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 4 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;blade-server--19;Blade server / 1 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;blade-server--20;Blade server / 1 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 16 RAM, 16 GB each / 0 GPU;blade-server--21;Blade server / 1 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 16 RAM, 16 GB each / 0 GPU;Compute;;;
